Sales Year Month,311 Neighborhood,Analysis Neighborhood,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List Pct
201803,Seacliff,Seacliff,2100000.0,3,2.0,0.0,15.0,107.2
201803,Sherwood Forest,West of Twin Peaks,1725000.0,6,8.0,1.0,15.0,121.1
201803,Showplace Square,Mission Bay,703500.0,4,4.0,2.0,35.5,96.2
201803,Silver Terrace,Bayview Hunters Point,885000.0,10,17.0,5.0,35.0,104.0
201803,South Beach,Financial District/South Beach,1200000.0,100,175.0,95.0,27.0,101.6
201803,South of Market,South of Market,951666.6666666666,217,352.0,162.0,29.666666666666668,102.10000000000001
201803,St. Francis Wood,West of Twin Peaks,2631000.0,4,5.0,1.0,29.0,103.1
201803,St. Mary's Park,Bernal Heights,1333000.0,6,8.0,1.0,13.0,128.4
201803,Sunnydale,Visitacion Valley,830000.0,1,3.0,2.0,21.0,144.9
201803,Sunnyside,West of Twin Peaks,1490000.0,11,14.0,3.0,15.0,116.6
201803,Sutro Heights,Outer Richmond,3009000.0,3,4.0,1.0,24.0,121.7
201803,Telegraph Hill,North Beach,923000.0,10,11.0,6.0,33.0,105.0
201803,Tenderloin,Tenderloin,685000.0,3,8.0,4.0,70.0,99.5
201803,Union Street,Marina,2495000.0,12,13.0,4.0,31.0,101.5
201803,University Mound,Excelsior,1133000.0,2,5.0,2.0,11.0,132.1
201803,Upper Market,Noe Valley,1300000.0,15,21.0,8.0,17.0,116.3
201803,Visitacion Valley,Visitacion Valley,790000.0,12,10.0,8.0,60.0,107.6
201803,West Portal,West of Twin Peaks,2018500.0,5,5.0,2.0,15.5,129.8
201803,Western Addition,Western Addition,889500.0,15,39.0,14.0,24.5,109.94999999999999
201803,Westwood Highlands,West of Twin Peaks,1700000.0,1,1.0,0.0,5.0,121.9
201803,Westwood Park,West of Twin Peaks,1250000.0,3,10.0,6.0,6.0,98.8
201804,Alamo Square,Hayes Valley,1150000.0,3,8.0,3.0,73.0,110.0
201804,Anza Vista,Lone Mountain/USF,2263000.0,2,2.0,1.0,86.0,97.6
201804,Aquatic Park / Ft. Mason,Marina,1568000.0,1,4.0,4.0,19.0,104.9
201804,Ashbury Heights,Haight Ashbury,1686500.0,14,26.0,11.0,16.5,116.8
201804,Balboa Terrace,West of Twin Peaks,2600000.0,1,1.0,0.0,141.0,94.5
201804,Bayview,Bayview Hunters Point,1053000.0,14,16.0,5.0,18.0,115.9
201804,Bernal Heights,Bernal Heights,1894000.0,62,90.0,33.0,40.5,115.4
201804,Bret Harte,Bayview Hunters Point,890000.0,5,7.0,3.0,25.0,112.6
201804,Buena Vista,Haight Ashbury,1305000.0,15,21.0,7.0,17.0,116.1
201804,Candlestick Point SRA,Bayview Hunters Point,815000.0,3,8.0,2.0,13.0,109.9
